,"USDA Wkly Cutout Val, Comp",,,,
Date,High - USD cwt,Low - USD cwt,Savg - USD cwt
12/28/2015 12:00:00 AM,197.9700,197.9700,197.9700
1/4/2016 12:00:00 AM,214.5100,214.5100,214.5100
1/11/2016 12:00:00 AM,222.1900,222.1900,222.1900
1/18/2016 12:00:00 AM,222.8400,222.8400,222.8400
1/25/2016 12:00:00 AM,216.8200,216.8200,216.8200
2/1/2016 12:00:00 AM,216.4800,216.4800,216.4800
2/8/2016 12:00:00 AM,215.1400,215.1400,215.1400
2/15/2016 12:00:00 AM,210.8400,210.8400,210.8400
2/22/2016 12:00:00 AM,212.4400,212.4400,212.4400
2/29/2016 12:00:00 AM,213.8900,213.8900,213.8900
3/7/2016 12:00:00 AM,216.2500,216.2500,216.2500
3/14/2016 12:00:00 AM,222.6000,222.6000,222.6000
3/21/2016 12:00:00 AM,223.0200,223.0200,223.0200
3/28/2016 12:00:00 AM,217.3400,217.3400,217.3400
4/4/2016 12:00:00 AM,213.8100,213.8100,213.8100
4/11/2016 12:00:00 AM,215.6500,215.6500,215.6500
4/18/2016 12:00:00 AM,216.1800,216.1800,216.1800
4/25/2016 12:00:00 AM,211.4000,211.4000,211.4000
5/2/2016 12:00:00 AM,203.7000,203.7000,203.7000
5/9/2016 12:00:00 AM,204.9400,204.9400,204.9400
5/16/2016 12:00:00 AM,213.1300,213.1300,213.1300
5/23/2016 12:00:00 AM,215.1000,215.1000,215.1000
5/30/2016 12:00:00 AM,213.0900,213.0900,213.0900
6/6/2016 12:00:00 AM,213.1500,213.1500,213.1500
6/13/2016 12:00:00 AM,213.2500,213.2500,213.2500
6/20/2016 12:00:00 AM,210.4600,210.4600,210.4600
6/27/2016 12:00:00 AM,205.8700,205.8700,205.8700
7/4/2016 12:00:00 AM,203.1200,203.1200,203.1200
7/11/2016 12:00:00 AM,203.6800,203.6800,203.6800
7/18/2016 12:00:00 AM,200.5600,200.5600,200.5600
7/25/2016 12:00:00 AM,199.1900,199.1900,199.1900
8/1/2016 12:00:00 AM,199.1100,199.1100,199.1100
8/8/2016 12:00:00 AM,200.0700,200.0700,200.0700
8/15/2016 12:00:00 AM,200.7100,200.7100,200.7100
8/22/2016 12:00:00 AM,202.5000,202.5000,202.5000
8/29/2016 12:00:00 AM,198.9100,198.9100,198.9100
9/5/2016 12:00:00 AM,191.6100,191.6100,191.6100
9/12/2016 12:00:00 AM,188.3500,188.3500,188.3500
9/19/2016 12:00:00 AM,187.8400,187.8400,187.8400
9/26/2016 12:00:00 AM,187.7800,187.7800,187.7800
10/3/2016 12:00:00 AM,185.0100,185.0100,185.0100
10/10/2016 12:00:00 AM,183.2100,183.2100,183.2100
10/17/2016 12:00:00 AM,179.7900,179.7900,179.7900
10/24/2016 12:00:00 AM,179.7200,179.7200,179.7200
10/31/2016 12:00:00 AM,182.6900,182.6900,182.6900
11/7/2016 12:00:00 AM,182.9400,182.9400,182.9400
11/14/2016 12:00:00 AM,178.9900,178.9900,178.9900
11/21/2016 12:00:00 AM,181.6800,181.6800,181.6800
11/28/2016 12:00:00 AM,183.1700,183.1700,183.1700
12/5/2016 12:00:00 AM,182.8400,182.8400,182.8400
12/12/2016 12:00:00 AM,185.3000,185.3000,185.3000
12/19/2016 12:00:00 AM,190.1500,190.1500,190.1500
12/26/2016 12:00:00 AM,196.4600,196.4600,196.4600
1/2/2017 12:00:00 AM,198.3300,198.3300,198.3300
1/9/2017 12:00:00 AM,193.1900,193.1900,193.1900
1/16/2017 12:00:00 AM,191.9900,191.9900,191.9900
1/23/2017 12:00:00 AM,191.6500,191.6500,191.6500
1/30/2017 12:00:00 AM,191.9100,191.9100,191.9100
2/6/2017 12:00:00 AM,190.3700,190.3700,190.3700
2/13/2017 12:00:00 AM,190.9600,190.9600,190.9600
2/20/2017 12:00:00 AM,193.5600,193.5600,193.5600
2/27/2017 12:00:00 AM,199.8900,199.8900,199.8900
3/6/2017 12:00:00 AM,207.8700,207.8700,207.8700
3/13/2017 12:00:00 AM,212.5900,212.5900,212.5900
3/20/2017 12:00:00 AM,216.6000,216.6000,216.6000
3/27/2017 12:00:00 AM,214.9000,214.9000,214.9000
4/3/2017 12:00:00 AM,206.9600,206.9600,206.9600
